"movieTitle" "popular" "good" "bad"
"179" 超狂亨利 25 4 1
"180" 傻瓜向錢衝 9 5 1
"181" 崩壞人生 19 14 1
"182" 通靈診療室 6 2 1
"183" 走音天后 46 17 1
"184" 火星異種 17 2 1
"185" 魔宮魅影 5 0 2
"186" 我愛妳,妳愛她 0 0 0
"187" 天才無限家 37 26 1
"188" 愛,囚禁 0 0 0
"189" 真愛有夠殺 10 3 2
"190" 羊男的冰島冒險 3 2 0
"191" 瘋狂假面2 1 0 0
"192" 北京遇上西雅圖之不二情書 19 7 0
"193" 麥田書香 0 0 0
"194" 愛人怪物 5 4 0
"195" 西西里的漫長等待 2 1 0
"196" 帝國毀滅: 關鍵13分鐘 0 0 0
"197" 魔物戀人 2 2 0
"198" 特務超級爸 0 0 0
"199" 忍者龜2:  0 0 0
"200" 破影而出 32 6 3
"201" 厲陰宅2 137 55 2
"202" 假會徵信社 24 12 1
"203" ID4星際終結者2 1 0 1
"204" 俺物語!! 4 0 0
"205" 魔獸:崛起 28 7 1
"206" 我就要你好好的 110 48 16
"207" 下女的誘惑 81 21 0
"208" 信長協奏曲 15 6 1
"209" 出神入化2 81 10 14
"210" 梭哈人生 13 1 1
"211" 萌學園:尋找磐古 0 0 0
"212" 夢碎天堂 7 3 0
"213" 憤怒鳥玩電影 10 1 0
"214" 搖滾青春戀習曲 19 19 0
"215" 傷物語: <U+9244>血篇 0 0 0
"216" 深海逃脫 1 0 0
"217" 師父 46 17 0
"218" 運河怪談 1 1 0
"219" 世界之庭 3 1 0
"220" 遠方禁戀 5 3 0
"221" 殺人一舉 2 1 0
"222" 春色蕩漾 2 1 0
"223" 沉默一瞬 2 1 0
"224" 水手服與機關槍 0 0 0
"225" 漢娜鄂蘭 6 1 0
"226" ─思想的行動 1 0 0
"227" 泰山傳奇 21 3 1
"228" 寒戰2 88 24 9
"229" 魔鬼剋星 104 31 3
"230" 星際爭霸戰3 7 2 0
"231" 神鬼認證5 21 5 1
"232" 寵物當家 37 4 3
"233" 海底總動員2 51 20 1
"234" 中央情爆員 13 2 1
"235" 冰原歷險記5 3 0 0
"236" 極樂宿舍 45 5 12
"237" 鬼撕眠 8 0 2
"238" 國定殺戮日3 10 3 1
"239" 舞力重擊 3 1 0
"240" 鬼關燈 37 12 1
"241" 阿姐萬萬醉 10 2 0
"242" 哆啦A夢2016 0 0 0
"243" 恐怖鄰人 8 3 2
"244" 暗殺教室2 0 0 0
"245" 異次元凶間 1 0 0
"246" 名偵探柯南20 0 0 0
"247" 女人沉睡時 2 0 1
"248" 六弄咖啡館 116 37 14
"249" 蝙蝠俠: 致命玩笑 1 1 0
"250" 最酷的一天 7 4 0
"251" 大同 14 5 0
"252" 愛情未來 7 2 0
"253" 夏日情事 1 1 0
"254" 歡迎來到美國 5 1 0
"255" 家有洛洛 4 2 0
"256" 變裝皇后萬萬歲 6 4 0
"257" 狂虐性告白 1 0 0
"258" 沉默茱麗葉 1 0 0
"259" 不只是閨蜜 5 0 0
"260" 山河故人 6 4 0
"261" 自殺突擊隊 379 49 54
"262" 吹夢巨人 9 1 1
"263" 賓漢 27 9 2
"264" 極速秒殺2 19 3 5
"265" 妮嘉 18 14 0
"266" 樓下的房客 240 68 39
"267" 絕鯊島 29 11 1
"268" 危城 27 6 1
"269" 我的哈比情人 2 1 0
"270" 正宗哥吉拉 91 46 2
"271" 酷寶: 魔弦傳說 0 0 0
"272" 火線掏寶 16 6 0
"273" 命懸生死線 3 1 0
"274" 科技浩劫 8 1 1
"275" 大顯神威 9 0 0
"276" 咖啡愛情 12 6 1
